rainfall,soil_moisture,slope,elevation,temperature,risk
84.36,36.89,19.2,694.02,27.91,MEDIUM
95.85,42.69,43.86,328.17,31.94,MEDIUM
76.82,38.27,21.78,553.82,31.73,MEDIUM
20.29,29.88,27.37,1375.88,25.08,LOW
110.54,39.68,52.88,1474.75,17.94,MEDIUM
44.27,24.29,24.39,367.78,27.98,LOW
120.73,30.62,44.11,657.52,32.89,MEDIUM
67.51,7.92,28.51,818.0,22.54,MEDIUM
99.83,37.71,33.4,1095.95,23.88,MEDIUM
156.92,45.15,28.91,110.88,33.02,HIGH
107.83,41.39,39.02,176.74,30.18,MEDIUM
101.48,19.52,19.09,1055.64,32.19,MEDIUM
113.89,43.32,15.21,50.0,26.43,LOW
37.16,46.55,19.7,662.35,22.85,LOW
124.11,38.72,29.3,918.08,28.79,MEDIUM
57.74,26.56,25.13,1024.58,20.56,LOW
59.17,30.87,37.23,790.48,24.81,MEDIUM
75.11,52.37,44.96,696.38,25.66,MEDIUM
53.78,15.34,15.31,1204.72,26.89,LOW
30.99,25.19,18.46,969.79,26.6,LOW
71.09,20.58,9.33,578.25,27.86,LOW
59.38,21.48,54.39,865.84,23.82,MEDIUM
57.81,26.7,31.96,1010.93,28.34,LOW
65.94,43.37,34.24,1571.66,34.81,MEDIUM
8.26,39.13,10.58,1180.26,25.9,LOW
58.13,32.23,27.98,1360.11,23.2,MEDIUM
169.57,40.99,34.62,593.54,22.18,MEDIUM
161.06,71.19,24.71,629.84,24.13,HIGH
72.88,24.96,41.98,751.14,24.94,MEDIUM
71.13,23.1,58.05,789.7,23.74,MEDIUM
5.8,5.0,15.69,426.63,27.03,LOW
46.31,40.77,14.71,1381.69,28.47,LOW
113.13,46.75,16.59,1221.01,27.5,MEDIUM
52.8,53.04,48.88,721.62,25.24,MEDIUM
138.99,24.95,41.55,1119.52,20.1,HIGH
133.57,55.41,26.24,943.62,29.03,MEDIUM
45.59,26.07,28.48,1152.33,23.66,MEDIUM
76.83,39.16,17.38,285.39,22.19,MEDIUM
178.18,28.38,39.57,788.82,27.73,HIGH
19.85,37.33,23.06,825.62,28.57,MEDIUM
53.7,35.24,24.62,1111.93,16.23,MEDIUM
17.93,20.44,35.91,586.06,23.72,LOW
34.97,30.69,25.56,50.0,28.42,LOW
211.62,43.44,24.95,395.69,29.57,HIGH
53.68,20.22,28.14,824.36,23.64,MEDIUM
10.83,14.63,38.34,876.83,22.39,MEDIUM
30.72,5.0,49.4,1557.17,24.32,MEDIUM
16.07,30.05,35.61,1094.75,22.57,MEDIUM
78.93,43.74,38.44,884.24,26.76,MEDIUM
94.89,25.47,25.4,836.4,21.68,MEDIUM
125.2,41.86,18.8,1313.76,18.76,MEDIUM
109.12,32.54,36.5,602.15,28.71,MEDIUM
20.78,24.94,30.23,791.08,26.25,LOW
91.64,25.76,9.51,392.51,30.19,LOW
63.86,18.5,23.74,1445.94,20.79,LOW
137.15,51.52,26.92,1014.85,21.89,MEDIUM
117.44,36.09,21.36,552.84,30.87,MEDIUM
229.16,76.91,47.26,801.93,20.52,CRITICAL
32.88,23.77,34.24,1064.05,28.22,LOW
28.95,12.45,45.85,744.7,29.87,LOW
48.57,39.27,31.42,625.52,28.94,MEDIUM
65.75,35.46,29.06,575.21,24.21,MEDIUM
41.37,32.62,15.82,992.36,21.92,MEDIUM
34.37,36.6,28.16,699.62,25.18,MEDIUM
87.53,24.82,28.17,659.42,21.89,MEDIUM
48.45,24.35,10.23,288.85,24.62,LOW
39.96,22.51,20.99,882.61,27.09,LOW
20.75,7.12,23.8,773.89,27.6,LOW
6.51,16.14,33.38,714.91,22.42,LOW
164.35,59.0,34.0,933.48,26.96,MEDIUM
161.25,46.41,20.44,1164.16,25.22,MEDIUM
119.81,22.36,34.1,1144.66,28.68,MEDIUM
101.76,17.17,25.63,1082.15,25.95,MEDIUM
45.01,43.51,2.0,748.92,29.02,LOW
104.58,33.74,21.7,611.86,27.77,LOW
27.15,15.22,42.03,411.56,30.28,LOW
75.52,27.07,6.14,600.87,22.18,LOW
37.23,7.71,29.46,858.25,24.75,LOW
104.87,50.43,48.61,519.76,26.54,MEDIUM
185.86,43.41,18.11,890.34,24.21,HIGH
30.61,37.94,28.03,444.51,28.42,LOW
46.78,26.05,11.05,152.38,30.34,LOW
74.52,45.65,49.15,1194.15,24.88,HIGH
12.39,22.81,26.92,650.75,25.51,MEDIUM
16.87,30.08,28.61,498.45,24.4,LOW
182.42,55.1,45.61,390.58,30.75,HIGH
87.79,38.9,36.6,1027.68,25.49,HIGH
43.05,28.72,16.62,1427.46,19.32,LOW
68.95,26.47,19.59,680.71,25.32,LOW
48.73,46.87,34.43,759.46,20.0,MEDIUM
76.11,20.2,19.89,1300.09,23.26,LOW
50.16,26.07,2.0,89.61,27.96,LOW
65.1,28.58,27.31,1676.08,19.62,MEDIUM
111.16,40.21,8.76,1876.52,25.63,MEDIUM
106.43,30.3,49.01,50.0,25.08,MEDIUM
175.92,49.61,30.3,809.05,27.62,MEDIUM
92.12,30.88,16.23,548.04,33.53,LOW
72.15,12.14,18.92,738.8,29.12,LOW
192.67,48.93,3.44,674.28,25.86,MEDIUM
60.21,15.53,13.71,1190.94,20.01,MEDIUM
7.38,5.0,41.21,802.72,21.03,LOW
120.79,38.83,57.01,467.42,25.58,HIGH
84.75,36.93,37.44,777.68,23.3,MEDIUM
69.73,34.95,26.8,1066.21,21.9,LOW
122.91,43.9,22.38,352.84,26.37,MEDIUM
50.49,5.0,15.57,158.58,27.96,MEDIUM
7.87,5.0,54.78,1686.95,22.96,MEDIUM
124.51,59.63,25.55,580.18,22.43,MEDIUM
41.84,13.17,55.5,792.31,23.25,MEDIUM
31.69,29.79,46.12,682.93,25.42,MEDIUM
8.42,11.79,5.37,1080.2,23.51,LOW
117.71,37.71,19.34,1594.57,27.7,MEDIUM
4.36,11.73,19.3,1093.57,24.82,LOW
156.13,49.16,26.96,212.29,22.88,MEDIUM
54.38,28.2,27.22,268.67,29.13,LOW
121.44,32.5,65.0,682.43,27.68,HIGH
94.04,21.49,14.0,737.34,25.28,LOW
215.35,55.4,30.98,126.78,24.55,MEDIUM
92.3,19.43,36.01,1194.12,29.25,MEDIUM
152.42,47.09,27.98,393.75,23.8,MEDIUM
45.62,54.19,29.43,1477.19,24.47,MEDIUM
16.8,35.54,14.42,1614.67,22.37,MEDIUM
133.95,47.33,29.38,745.73,27.57,MEDIUM
16.29,19.66,34.65,1034.37,29.81,MEDIUM
116.85,15.37,32.26,332.58,29.3,MEDIUM
28.49,8.01,35.41,1111.94,22.21,MEDIUM
85.9,45.85,46.36,640.76,29.66,MEDIUM
217.9,44.18,40.18,393.36,25.21,HIGH
110.87,28.05,28.93,728.48,26.25,MEDIUM
60.4,25.84,12.77,654.39,21.92,MEDIUM
95.54,21.6,20.2,713.43,22.48,LOW
46.95,12.02,25.14,1248.87,23.54,MEDIUM
271.13,60.83,31.28,520.17,27.84,HIGH
39.3,14.48,21.78,1578.71,16.45,MEDIUM
65.42,20.32,15.84,293.47,29.27,LOW
104.31,26.1,12.55,1528.48,19.5,MEDIUM
90.86,38.28,6.53,423.07,31.19,MEDIUM
97.99,31.13,24.95,849.57,24.05,MEDIUM
47.73,23.67,8.89,644.12,22.51,LOW
58.55,33.93,14.99,705.63,26.07,LOW
129.93,37.23,22.88,1186.57,20.73,MEDIUM
125.76,35.06,10.63,1479.93,26.4,MEDIUM
92.36,37.95,32.94,1350.02,22.93,LOW
164.69,51.7,37.62,679.96,25.45,HIGH
133.33,37.71,20.86,927.39,26.72,MEDIUM
123.27,38.61,22.32,521.53,23.44,MEDIUM
15.97,11.96,34.99,433.55,22.92,LOW
91.59,23.19,18.72,368.55,28.65,MEDIUM
80.54,39.35,17.82,666.22,22.48,LOW
178.24,51.41,43.55,954.83,21.18,HIGH
62.72,33.04,39.49,50.0,31.45,MEDIUM
75.94,33.24,35.82,830.53,26.94,MEDIUM
28.15,23.01,40.03,1486.73,18.3,MEDIUM
33.22,30.98,2.3,1321.2,21.07,LOW
178.61,56.86,45.6,604.22,23.39,MEDIUM
97.74,43.66,33.1,263.31,33.5,MEDIUM
218.21,51.8,41.14,1043.13,27.21,HIGH
61.87,43.16,33.03,50.0,27.43,LOW
20.03,23.72,28.64,1316.26,24.92,LOW
55.41,33.82,24.42,760.29,21.24,MEDIUM
48.35,28.84,32.77,1619.15,19.56,LOW
113.46,38.87,23.95,124.67,28.77,HIGH
110.44,27.58,39.28,1235.62,24.89,MEDIUM
101.05,41.88,7.38,807.79,25.05,MEDIUM
261.09,91.07,20.96,710.96,26.59,HIGH
158.6,39.25,54.58,274.67,28.01,HIGH
35.25,24.42,19.86,1100.21,23.53,LOW
136.19,34.88,24.9,1133.98,22.95,MEDIUM
72.4,24.22,16.53,1599.75,20.44,MEDIUM
60.61,44.69,32.37,1273.38,24.01,MEDIUM
171.38,38.02,18.43,600.56,27.61,MEDIUM
33.36,18.12,25.59,428.38,27.71,LOW
130.31,21.39,39.04,275.23,23.99,HIGH
117.1,28.4,18.92,1468.75,19.19,MEDIUM
32.81,5.0,38.25,523.17,27.92,LOW
15.4,27.41,38.69,1471.7,27.09,MEDIUM
66.69,59.47,41.71,1070.53,24.67,MEDIUM
146.49,37.4,29.83,988.56,23.23,HIGH
91.35,14.28,65.0,721.12,26.47,MEDIUM
174.91,55.89,41.71,1127.48,20.29,HIGH
87.08,23.94,32.22,843.5,29.39,MEDIUM
182.38,61.47,16.61,694.93,26.47,HIGH
44.38,22.0,26.74,1142.32,21.72,LOW
100.84,27.18,46.54,789.53,24.91,HIGH
52.33,24.41,50.22,514.7,25.0,MEDIUM
65.17,36.76,47.22,1101.93,28.24,MEDIUM
75.75,27.62,38.21,823.13,24.65,LOW
91.15,27.12,11.68,1055.34,24.75,MEDIUM
39.57,22.14,34.33,659.38,27.87,LOW
97.58,19.62,11.86,342.17,25.09,MEDIUM
73.04,34.05,8.66,1578.73,22.52,MEDIUM
21.16,5.0,31.11,1499.58,23.13,LOW
13.05,15.2,34.8,1221.19,18.53,MEDIUM
146.84,49.85,39.74,687.12,26.72,LOW
62.81,31.38,34.46,723.87,25.6,MEDIUM
18.99,27.53,34.91,1430.58,22.98,MEDIUM
201.47,49.52,15.2,701.39,25.96,HIGH
104.38,47.57,26.64,584.33,27.2,MEDIUM
89.48,42.49,8.41,1636.34,25.92,MEDIUM
36.66,28.77,2.0,829.98,21.49,LOW
20.86,31.54,37.63,1592.74,20.74,MEDIUM
80.62,39.15,18.21,262.68,29.95,LOW
69.76,24.33,39.34,1067.64,25.73,MEDIUM
28.57,7.79,42.41,1719.85,22.73,MEDIUM
27.67,27.05,19.95,862.5,33.93,LOW
26.41,28.23,35.67,739.12,27.64,MEDIUM
25.58,34.09,19.4,359.54,31.0,LOW
43.2,14.61,4.0,1304.58,22.15,LOW
89.5,22.35,29.6,526.55,23.45,LOW
100.1,39.08,21.88,810.18,24.35,MEDIUM
68.72,28.21,22.28,331.51,29.79,LOW
78.03,9.74,53.68,1503.9,23.53,LOW
103.37,38.66,8.16,1335.05,24.28,MEDIUM
9.56,5.0,32.98,836.73,24.55,LOW
82.42,20.79,15.07,365.26,26.16,LOW
163.18,58.98,39.81,1495.08,21.7,HIGH
61.6,47.93,31.88,696.31,28.18,MEDIUM
142.98,27.51,32.93,385.81,29.95,MEDIUM
62.45,24.37,15.72,109.91,25.29,LOW
108.05,35.76,18.05,578.69,28.84,MEDIUM
88.24,51.71,40.05,239.05,25.84,MEDIUM
26.02,16.74,51.02,588.42,27.85,MEDIUM
31.87,17.85,34.24,1162.65,23.15,MEDIUM
182.38,64.22,16.33,692.33,30.9,HIGH
124.09,33.73,32.41,999.39,23.16,LOW
65.62,36.44,59.56,546.2,27.11,LOW
59.34,11.25,29.33,877.37,26.99,LOW
36.87,22.02,47.0,1656.78,18.75,MEDIUM
93.51,14.71,18.38,703.64,25.6,MEDIUM
39.58,12.72,27.45,1011.46,23.6,LOW
53.6,35.81,36.05,192.48,26.49,MEDIUM
43.06,24.34,33.17,1488.44,20.89,LOW
119.0,33.53,18.04,649.57,29.64,MEDIUM
63.63,19.94,17.48,1291.22,21.27,LOW
78.45,28.12,40.85,798.26,27.22,MEDIUM
26.5,25.55,43.49,1106.86,25.03,LOW
42.82,35.66,47.66,1131.83,19.44,MEDIUM
79.68,5.0,51.45,659.98,27.69,LOW
16.32,11.46,29.75,1308.6,18.59,LOW
60.12,29.37,23.95,531.23,28.62,MEDIUM
70.26,28.15,45.56,1176.73,22.08,MEDIUM
23.51,26.2,37.27,686.11,25.94,LOW
138.87,43.16,15.23,996.81,20.37,MEDIUM
90.44,29.12,14.56,655.96,26.44,LOW
63.28,22.33,34.4,870.99,28.05,LOW
40.33,21.75,25.7,398.63,24.62,LOW
15.67,33.14,27.66,953.97,22.76,LOW
132.0,31.07,41.94,868.56,26.55,MEDIUM
49.81,25.28,37.87,623.14,27.73,MEDIUM
20.02,23.22,45.29,826.89,17.49,MEDIUM
39.4,41.47,2.89,906.28,31.37,LOW
97.12,30.24,31.29,591.13,28.03,LOW
84.06,42.0,37.03,795.92,27.65,MEDIUM
28.69,36.14,8.15,427.67,26.62,LOW
147.49,40.9,19.49,1835.21,14.8,MEDIUM
19.76,18.84,17.07,1294.83,25.33,LOW
167.39,41.16,28.28,964.7,22.85,MEDIUM
81.56,28.24,49.16,1342.29,24.7,HIGH
52.81,35.85,54.29,50.0,28.07,LOW
58.62,29.92,17.41,50.0,29.54,LOW
75.09,32.6,34.85,682.3,23.45,LOW
102.3,21.99,35.26,271.0,30.55,MEDIUM
12.89,9.42,33.04,750.63,21.82,LOW
38.33,47.71,33.19,936.38,31.97,MEDIUM
73.38,27.78,31.95,1236.57,30.6,MEDIUM
151.14,33.66,49.94,371.93,32.55,MEDIUM
147.43,57.33,42.33,1017.84,28.5,HIGH
189.69,51.45,14.22,856.04,24.88,MEDIUM
142.9,47.22,38.34,995.95,28.25,MEDIUM
35.95,22.23,39.6,631.7,25.85,LOW
70.05,25.7,32.09,1430.92,17.59,MEDIUM
143.45,39.09,42.71,806.53,30.18,HIGH
134.46,24.3,30.44,1595.16,25.43,MEDIUM
60.87,26.77,30.61,518.04,26.57,LOW
100.39,37.32,29.58,1161.99,19.85,LOW
49.6,46.29,2.0,824.94,23.41,LOW
18.25,21.87,26.95,712.35,19.97,LOW
64.92,5.0,19.31,1115.57,27.0,LOW
62.06,26.9,12.58,724.35,20.61,MEDIUM
47.75,55.77,46.64,50.0,29.69,MEDIUM
102.58,43.94,34.55,50.0,26.08,MEDIUM
59.35,18.58,27.61,1384.42,18.2,LOW
93.07,39.39,20.66,1366.71,23.61,MEDIUM
117.56,28.65,31.85,1642.68,20.54,MEDIUM
281.04,48.07,40.89,842.64,27.89,HIGH
65.74,24.69,17.25,307.09,23.56,LOW
152.51,43.41,27.94,673.77,23.54,MEDIUM
83.21,10.72,39.28,854.8,17.51,MEDIUM
86.6,19.22,2.83,427.04,20.09,LOW
66.4,28.74,27.25,1542.4,27.81,MEDIUM
78.18,26.02,22.42,1790.59,27.61,LOW
59.77,31.91,26.26,1050.88,24.57,MEDIUM
135.63,26.34,21.48,845.44,22.56,MEDIUM
39.52,32.18,29.79,306.11,26.67,LOW
18.07,7.87,53.01,1499.5,25.05,MEDIUM
46.51,43.51,23.79,882.05,23.38,MEDIUM
42.64,5.95,31.79,728.55,26.48,LOW
46.5,13.42,53.93,1052.09,24.22,MEDIUM
63.84,32.81,20.85,604.0,24.46,LOW
46.63,43.77,51.59,911.69,23.21,MEDIUM
63.17,31.57,28.07,244.16,28.84,MEDIUM
46.75,31.67,51.16,1306.58,19.99,MEDIUM
94.43,33.3,37.75,806.15,26.82,MEDIUM
279.44,51.42,31.99,1336.7,21.48,HIGH
82.04,25.73,27.15,765.52,25.96,MEDIUM
48.28,12.39,19.89,792.8,29.86,LOW
5.75,5.0,28.99,340.83,26.93,LOW
222.69,58.05,39.67,1169.1,26.68,HIGH
85.3,19.29,27.83,482.15,21.1,LOW
62.76,31.56,23.88,645.7,24.59,LOW
6.24,5.0,24.74,850.44,25.26,LOW
65.22,31.7,40.9,900.91,31.1,MEDIUM
77.71,25.06,43.93,133.44,22.13,MEDIUM
46.88,40.97,19.33,753.06,25.3,LOW
21.67,25.03,19.31,1184.0,28.33,LOW
20.3,34.84,32.93,691.1,23.38,LOW
224.93,45.68,47.86,755.61,24.92,HIGH
76.12,30.8,42.9,918.21,25.93,LOW
46.85,14.7,11.73,797.1,26.0,LOW
72.9,25.11,24.57,417.18,32.13,MEDIUM
69.34,26.21,15.9,834.73,26.68,LOW
19.32,13.11,24.52,1267.51,27.55,LOW
129.8,25.4,48.86,408.51,26.01,MEDIUM
61.54,12.3,9.51,692.72,23.51,LOW
76.87,5.0,6.95,269.71,27.06,LOW
178.61,34.96,17.23,1245.38,19.69,MEDIUM
22.3,28.47,31.74,811.21,26.9,MEDIUM
37.84,6.47,36.07,492.92,25.55,MEDIUM
88.51,17.11,33.69,888.75,22.85,MEDIUM
128.12,58.2,43.28,344.49,29.05,MEDIUM
43.41,17.94,5.08,415.93,23.47,LOW
45.43,28.8,43.45,236.74,30.4,LOW
108.84,42.48,23.94,401.95,25.66,LOW
265.81,67.82,37.51,1420.08,26.32,CRITICAL
74.65,13.2,10.8,542.09,25.3,LOW
37.74,21.5,28.06,1045.81,26.32,LOW
28.99,5.0,31.07,498.75,27.33,LOW
63.7,55.1,43.02,1169.0,26.12,MEDIUM
124.25,20.34,7.39,419.05,27.47,LOW
320.0,57.67,28.4,866.48,19.78,CRITICAL
55.98,15.51,13.89,872.2,28.3,LOW
74.74,13.49,34.57,1827.68,20.49,MEDIUM
201.5,65.12,38.1,1114.78,26.51,HIGH
87.49,58.65,44.73,600.98,28.5,MEDIUM
82.44,25.96,21.04,1137.72,21.41,MEDIUM
177.16,31.82,40.05,1748.03,18.21,HIGH
76.0,5.55,45.69,165.55,30.35,MEDIUM
31.15,20.3,6.64,496.16,25.8,LOW
154.38,39.22,35.96,750.5,28.62,MEDIUM
16.23,13.43,40.46,674.82,25.39,LOW
137.8,42.48,24.64,710.24,29.08,MEDIUM
70.52,33.63,12.26,302.22,28.99,MEDIUM
56.44,30.58,40.26,1439.66,23.44,MEDIUM
55.33,23.38,12.41,252.5,26.67,MEDIUM
63.52,16.05,25.68,765.91,26.3,LOW
50.33,33.38,27.48,1289.25,27.02,MEDIUM
96.47,33.57,37.3,837.32,25.06,MEDIUM
51.72,36.05,19.85,438.65,28.73,MEDIUM
70.9,38.04,19.1,283.56,27.87,LOW
9.88,5.0,29.29,753.4,26.01,LOW
70.56,13.51,41.08,532.05,32.12,MEDIUM
49.54,17.62,57.74,936.2,28.63,MEDIUM
131.21,27.37,8.4,261.39,28.08,LOW
58.24,35.63,32.1,1191.48,24.32,MEDIUM
118.83,40.88,13.88,898.53,22.71,MEDIUM
109.94,47.68,41.24,929.73,24.26,MEDIUM
111.98,40.28,15.8,1455.25,23.44,MEDIUM
59.81,29.87,19.23,666.13,28.72,LOW
73.96,43.03,20.34,545.16,28.94,MEDIUM
94.71,38.32,27.01,619.94,22.66,MEDIUM
75.6,30.84,32.2,769.14,28.67,MEDIUM
58.33,43.62,34.29,811.79,25.06,LOW
33.69,24.66,27.93,501.11,23.59,LOW
71.51,26.09,10.71,50.0,33.05,LOW
18.13,11.69,37.46,614.41,30.92,LOW
9.02,27.18,27.31,1001.13,25.34,LOW
27.27,35.97,43.1,907.23,27.19,MEDIUM
111.11,35.22,18.8,1353.81,25.36,MEDIUM
83.63,45.77,7.17,1671.3,25.95,LOW
111.86,14.23,27.56,1168.92,26.07,MEDIUM
40.73,23.91,44.85,1430.66,18.31,MEDIUM
140.09,39.97,30.09,1172.05,30.16,MEDIUM
20.32,13.25,25.4,1568.16,25.35,LOW
28.21,48.74,16.69,1627.36,20.05,MEDIUM
138.49,39.43,50.85,1249.49,20.08,HIGH
79.41,26.22,14.62,1146.68,25.46,MEDIUM
112.31,36.26,18.57,763.8,24.67,LOW
83.88,9.39,35.41,832.64,26.31,MEDIUM
45.58,16.93,3.87,708.11,28.19,LOW
25.24,32.85,44.57,1110.93,22.19,HIGH
12.06,13.01,36.11,547.45,22.96,LOW
212.39,42.87,39.69,769.74,26.77,MEDIUM
15.57,34.9,35.26,50.0,27.07,LOW
173.35,60.48,25.91,1573.7,22.39,HIGH
76.33,35.9,14.18,757.4,21.29,MEDIUM
85.7,26.71,26.18,1041.34,23.51,MEDIUM
81.81,28.46,15.32,1462.27,24.71,LOW
103.01,25.64,34.32,976.12,26.55,MEDIUM
37.55,13.06,38.49,1456.62,19.92,MEDIUM
7.55,7.72,47.2,328.47,23.78,LOW
44.82,18.37,32.83,1856.9,20.69,LOW
97.15,22.16,40.02,1306.59,24.92,MEDIUM
28.46,5.35,24.14,937.87,26.08,LOW
142.36,43.19,21.78,1448.53,20.84,HIGH
64.39,30.88,34.16,359.17,28.34,LOW
26.12,40.89,22.98,728.78,30.53,LOW
78.86,23.27,31.5,1456.59,23.1,MEDIUM
96.03,36.62,14.2,65.83,23.48,LOW
100.83,37.57,16.54,1085.39,24.77,MEDIUM
138.59,37.38,36.26,1073.51,30.71,MEDIUM
18.79,29.19,39.53,1677.07,17.33,MEDIUM
138.72,48.72,15.19,185.16,28.26,MEDIUM
147.18,45.15,36.72,1526.05,21.41,MEDIUM
25.29,19.23,21.07,615.02,26.54,LOW
30.14,18.89,28.21,662.26,26.64,LOW
116.16,21.54,46.42,336.76,31.13,MEDIUM
51.98,17.45,38.5,393.1,27.5,MEDIUM
161.51,37.0,38.35,1019.48,28.5,HIGH
191.07,36.21,52.81,382.82,26.9,HIGH
26.09,27.01,18.85,1160.92,22.66,LOW
36.92,37.07,15.18,571.55,24.29,LOW
75.97,20.17,18.61,340.53,21.65,MEDIUM
7.27,22.28,24.69,628.32,27.06,LOW
12.47,8.62,2.0,991.42,31.11,LOW
33.43,19.99,25.3,733.51,27.17,LOW
233.79,47.81,20.92,864.37,27.31,HIGH
84.45,38.13,38.19,1142.41,22.54,MEDIUM
42.11,17.27,32.58,1304.62,22.35,MEDIUM
29.93,33.92,20.19,719.76,28.91,LOW
25.02,19.3,35.67,411.43,33.58,LOW
44.65,18.0,37.4,881.96,29.79,MEDIUM
42.61,11.03,18.01,1047.67,26.86,LOW
59.37,30.28,21.59,236.5,28.05,LOW
99.22,43.72,2.0,475.94,27.53,MEDIUM
66.43,31.64,13.82,547.94,24.12,LOW
120.85,61.96,18.35,762.71,20.93,MEDIUM
56.17,42.72,28.96,530.37,23.01,MEDIUM
200.51,46.7,15.71,1146.96,24.0,HIGH
118.88,33.52,21.33,175.84,27.27,MEDIUM
82.82,36.42,12.07,186.52,23.46,LOW
99.45,24.69,30.22,709.77,25.69,LOW
45.63,38.13,33.53,776.23,24.49,MEDIUM
58.64,31.36,33.23,239.05,24.17,MEDIUM
56.92,29.93,28.16,595.17,25.14,LOW
38.09,31.65,7.97,681.56,24.91,LOW
21.16,40.34,19.94,684.81,23.95,LOW
103.18,36.39,22.71,913.79,27.85,LOW
133.77,38.16,22.76,572.14,20.34,MEDIUM
93.29,49.52,28.97,1470.69,16.03,MEDIUM
66.29,39.25,46.53,1055.05,24.26,MEDIUM
259.17,55.94,38.56,511.01,27.01,HIGH
41.67,24.72,15.16,889.69,26.29,LOW
84.83,33.72,36.82,902.09,23.22,MEDIUM
146.64,45.44,36.32,1360.18,19.94,HIGH
27.48,7.47,17.52,597.84,26.29,LOW
108.63,18.41,39.04,1172.28,22.31,MEDIUM
208.99,41.68,25.92,867.58,30.06,HIGH
70.41,18.65,9.67,1476.46,21.32,LOW
79.53,23.64,33.92,1392.17,22.57,MEDIUM
41.88,31.68,30.82,932.73,32.72,LOW
98.67,31.93,25.04,739.84,25.05,LOW
37.32,26.13,27.51,1062.77,26.0,MEDIUM
67.37,15.31,18.65,774.21,27.58,LOW
18.67,15.91,35.93,1555.73,24.34,MEDIUM
3.46,25.01,27.44,882.96,25.95,LOW
48.89,32.37,30.16,679.63,26.56,MEDIUM
48.27,17.75,32.64,656.96,26.36,LOW
52.26,28.14,12.99,340.53,25.62,LOW
116.48,60.82,16.37,1083.75,25.16,MEDIUM
136.27,39.61,2.0,505.6,33.22,LOW
87.35,24.35,35.34,1311.22,26.97,LOW
111.02,33.85,12.24,306.97,28.59,MEDIUM
38.22,25.13,29.72,903.44,27.67,MEDIUM
30.82,21.27,32.82,1333.09,20.22,MEDIUM
100.05,33.66,35.83,50.0,27.94,MEDIUM
27.15,6.47,12.35,1697.67,24.39,MEDIUM
24.46,11.32,27.15,671.38,30.74,LOW
320.0,67.56,49.71,909.26,22.44,CRITICAL
73.76,27.98,50.29,1090.01,22.55,MEDIUM
48.3,19.5,40.84,1154.97,30.78,LOW
44.02,23.1,32.39,965.03,24.97,LOW
19.21,21.74,14.93,1268.9,29.12,LOW
86.06,41.55,37.34,1068.01,24.86,MEDIUM
56.07,25.88,25.95,1589.57,22.63,LOW
133.72,43.79,35.29,1069.38,23.21,MEDIUM
102.21,28.4,19.77,1675.15,24.48,MEDIUM
54.61,33.03,25.75,1228.45,27.82,MEDIUM
9.83,23.71,30.13,91.58,25.28,LOW
73.91,39.35,31.2,1946.66,19.11,MEDIUM
69.16,36.91,34.42,608.78,29.19,LOW
7.55,25.68,20.47,1478.13,21.93,LOW
94.25,32.0,10.54,861.25,23.55,MEDIUM
26.31,24.9,49.12,1295.66,26.4,MEDIUM
138.36,51.84,60.36,560.84,30.01,HIGH
66.1,21.4,33.82,1112.81,22.55,LOW
43.02,17.97,10.79,743.66,26.33,LOW
81.55,33.04,17.95,1513.18,18.32,LOW
78.0,35.05,34.62,1034.24,21.48,MEDIUM
75.96,21.09,45.43,1243.1,23.8,MEDIUM
126.43,37.41,12.23,50.0,28.88,LOW
85.11,30.58,26.38,814.06,22.24,MEDIUM
39.95,5.0,30.55,1022.43,22.11,MEDIUM
57.38,24.77,39.24,943.92,21.34,MEDIUM
171.35,43.69,23.53,1253.69,24.81,MEDIUM
37.04,22.16,7.67,696.32,19.57,LOW
93.2,48.49,36.08,870.49,21.85,MEDIUM
129.54,25.35,42.62,1346.12,16.98,MEDIUM
99.5,24.85,26.93,50.0,30.12,LOW
74.24,5.0,33.27,1097.53,18.29,MEDIUM
82.7,25.94,21.83,709.77,25.91,MEDIUM
103.84,30.26,17.0,466.83,32.15,MEDIUM
36.67,18.26,41.34,991.35,29.89,LOW
69.49,41.3,33.04,1365.53,17.08,LOW
258.23,68.78,34.37,1286.44,24.17,HIGH
95.19,34.09,47.53,793.25,22.27,HIGH
76.14,26.11,14.29,1217.81,19.7,LOW
53.06,37.78,20.82,1214.59,23.17,LOW
37.02,23.71,30.05,813.3,29.27,LOW
84.66,22.54,20.66,558.91,28.4,MEDIUM
88.82,13.33,38.18,583.2,24.09,MEDIUM
66.12,23.72,25.56,1201.9,25.85,LOW
320.0,77.5,15.1,832.3,18.07,HIGH
39.75,49.4,28.86,410.6,24.74,LOW
32.38,23.86,30.21,142.36,25.72,LOW
53.65,18.16,40.15,1199.37,23.85,MEDIUM
67.69,15.8,33.11,620.35,25.56,LOW
35.43,29.74,33.99,988.76,24.1,MEDIUM
83.23,11.91,32.16,1370.68,22.27,MEDIUM
89.64,38.4,25.55,300.25,27.72,MEDIUM
112.24,44.95,18.69,831.04,26.99,MEDIUM
47.16,30.34,31.75,778.31,25.98,HIGH
162.2,41.54,23.67,1009.49,23.55,MEDIUM
107.21,41.37,49.97,1370.45,24.12,MEDIUM
39.09,26.13,45.45,291.63,30.33,LOW
35.3,15.09,36.23,1089.32,22.32,LOW
56.49,47.39,32.92,1283.24,23.04,LOW
89.79,28.5,26.86,771.72,29.25,MEDIUM
